original,normalized
tôi cx nghĩ vậy,tôi cũng nghĩ vậy
bộ phim này cx hay đấy chứ,bộ phim này cũng hay đấy chứ
anh ấy cx đến muộn giống tôi,anh ấy cũng đến muộn giống tôi
nếu bạn đi thì tôi cx đi,nếu bạn đi thì tôi cũng đi
món này ngon mà món kia cx ngon,món này ngon mà món kia cũng ngon
dù khó khăn nhưng chúng tôi cx đã hoàn thành,dù khó khăn nhưng chúng tôi cũng đã hoàn thành
cô ấy không chỉ hát hay mà nhảy cx đẹp,cô ấy không chỉ hát hay mà nhảy cũng đẹp
tôi cx không chắc về điều đó,tôi cũng không chắc về điều đó
chuyện đó cx bình thường thôi mà,chuyện đó cũng bình thường thôi mà
giá một tô phở bây giờ cx không rẻ,giá một tô phở bây giờ cũng không rẻ
bạn làm được thì tôi cx làm được,bạn làm được thì tôi cũng làm được
trời mưa rồi chúng ta cx nên về thôi,trời mưa rồi chúng ta cũng nên về thôi
tôi cx muốn thử một lần cho biết,tôi cũng muốn thử một lần cho biết
anh ấy cx không biết chuyện gì đã xảy ra,anh ấy cũng không biết chuyện gì đã xảy ra
chiếc váy này cx hợp với bạn lắm,chiếc váy này cũng hợp với bạn lắm
chúng ta cx nên lắng nghe ý kiến của người khác,chúng ta cũng nên lắng nghe ý kiến của người khác
tôi cx không ngờ mọi chuyện lại thành ra thế này,tôi cũng không ngờ mọi chuyện lại thành ra thế này
việc này cx có cái khó của nó,việc này cũng có cái khó của nó
bố tôi cx từng làm việc ở đây,bố tôi cũng từng làm việc ở đây
dù không nói ra nhưng tôi biết anh ấy cx buồn,dù không nói ra nhưng tôi biết anh ấy cũng buồn
Tôi ko biết nữa,Tôi không biết nữa
Tao hong đi đâu hết á,Tao không đi đâu hết á
Tôi hok có tiền đâu nha,Tôi không có tiền đâu nha
Giờ hk còn kịp nữa rồi,Giờ không còn nữa rồi
Tao hoq hiểu luôn á trời,Tao không hiểu luôn á trời
Tao hq có nói gì đâu mà,Tao không có nói gì đâu mà
Tôi kg làm gì sai hết á,Tôi không làm gì sai hết á
Tao hông thích kiểu đó đâu,Tao không thích kiểu đó đâu
Tôi khom có làm đâu,Tôi không có làm đâu
Tôi khum biết gì luôn á,Tôi không biết gì luôn á
Tôi 0 hiểu luôn thiệt sự,Tôi không hiểu luôn thiệt sự
Tôi 0 muốn nói nữa,Tôi không muốn nói nữa
Tôi 0 muốn thấy bạn nữa,Tôi không muốn thấy bạn nữa
Mày với thằng Khoa còn chs vs nhau ko,Mày với thằng Khoa còn chơi với nhau không
Tôi phải nộp bài đúng hạn,Tôi phải nộp bài đúng hạn
Mày phải xin lỗi người ta đi chứ,Mày phải xin lỗi người ta đi chứ
Tôi bik rồi khỏi nói nữa,Tôi biết rồi khỏi nói nữa
Mày bít hông nó có ny rồi đó,Mày biết không nó có người yêu rồi đó
Tôi pik hết chuyện đó luôn nha,Tôi biết hết chuyện đó luôn nha
Tao biet mà làm sao quên được,Tao biết mà làm sao quên được
